Item_ID,Type,Color,Season,Occasion,Material
1,Sweater,Blue,Winter,Casual,Wool
2,Blazer,Navy,Fall,Business,Wool
3,Chinos,Khaki,Fall,Business,Cotton
4,Raincoat,Olive,Spring,Casual,Polyester
5,Air Force 1,White,All,Casual,Leather
6,Button-up,White,All,Business,Cotton
7,Jeans,Black,Winter,Casual,Denim
8,Trench Coat,Beige,Winter,Formal,Cotton
9,Loafers,Brown,All,Formal,Leather
10,Hoodie,Grey,Spring,Casual,Cotton
11,Dress Shoes,Brown,All,Business,Leather
12,Jordan 11,Red,All,Casual,Patent Leather
13,Swim Trunks,Red,Summer,Swim,Nylon
14,Flip Flops,Black,Summer,,Rubber
15,Hawaiian Shirt,Red,Summer,"Casual, Swim",Cotton
16,Dress Pants,Blue,Summer,"Formal, Business",Wool
17,Lebron 9,Yellow,All,,
18,t-shirt,Black,All,,
19,Athletic Shorts,Black,All,,
20,Joggers,Black,Winter,"Casual, Sport",
21,Sweat pants,Gray,Winter,"Casual, Sport",
22,Polo shirt,Blue,"Spring, Fall","Casual, Business",Cotton
